split,path,width,height,annotations,sha256,dhash
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-41-AM-1-_jpeg.rf.a67926adff9d234dd510c772c8a6a574.jpg,640,480,140,24b7e30e21ca7425c316b8c40c1a0bb2d13a1f95e3e85988abb1f17a5592a94c,776760327070b8a6
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-45-AM-1-_jpeg.rf.d59de69a9002db562490c24297e46c22.jpg,640,480,14,94a9bae81218ee93b0a479a19a334927c2809e9ebf751f384142d5722b54e124,1cdc9cd89818d2dc
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-47-AM_jpeg.rf.0322dfead7eae87aacfd568df093e15f.jpg,640,480,3,6791f023f5d3dfce48ad275d9838bb549248e18e6c4c0dba019b13211c4a7532,f8b6fad0b4b6b4dc
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-50-AM_jpeg.rf.a95a46ed54a201c8bba806db89978ca2.jpg,480,640,17,2cf07a0a8fe71c247c582d9aaace7b45c434e48d09dcd58ca515046fdaf1b44f,890949b991677bd8
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-52-AM-1-_jpeg.rf.fb749cebf393750e0f8bf7a0d108affe.jpg,480,640,8,e38bf2c6b048d3a8858109cf755ae004df0b18500928243ebad9a20334af897d,bf34246467649101
train,train/images/WhatsApp-Image-2026-07-03-at-11-57-58-AM_jpeg.rf.07aaf3798d3bb4597b97738790709627.jpg,480,640,1,cf85d93cb0596486bef1e40db55d9b79cdae43c472eb58183f313434a9489fa8,3f9f9f6b50507921
train,train/images/WhatsApp-Image-2026-07-03-at-11-58-00-AM-1-_jpeg.rf.d95686c4c188a9035fb0fc07afb48174.jpg,480,640,74,b51ed7c51dce9abebadedbf035f48da088693ad20985904406229c8ba2198d0c,220a28a8a8ad4cd9
train,train/images/WhatsApp-Image-2026-07-03-at-11-58-00-AM-2-_jpeg.rf.d66f8862f5faad027a34e55c5fca53ff.jpg,480,640,28,5d6289af8c358dfc48221f0a1bbe65617d3e1934a8db01a6ddcbbe9033e0859d,4f4f3b3b3b3fd3f6
train,train/images/WhatsApp-Image-2026-07-03-at-11-58-08-AM-2-_jpeg.rf.a732a0ecaa8eca85771c1d465206ed47.jpg,480,640,70,2faaaa75797c1c982d4acff7d0a0f17899f3dd846d59c47683b665d5603e18c4,3860607c5c581813
train,train/images/WhatsApp-Image-2026-07-03-at-11-58-22-AM-1-_jpeg.rf.3facd84c6dc37a30912f355454519b97.jpg,640,480,4,8186d0981c88d91c13ccf3d15d0e83da22ebaf4333ea2a9e1ddd1adf69ab7f20,1130103f6c6470a1
train,train/images/WhatsApp-Image-2026-07-03-at-11-58-37-AM_jpeg.rf.69128d31a5f2b8e3b36d0007fa080b2f.jpg,640,480,95,fc586c3f066f2aa135b22d4f3bcc520cf9de71040d4062455cea61ed1c57ff3d,4454545555555555
train,train/images/WhatsApp-Image-2026-07-03-at-11-58-39-AM_jpeg.rf.b468250bfadebfbb7e64ad2ee75565af.jpg,640,480,19,4082300eac5a659975973ba58a3c05be1440125959caf333c10672b042b09767,4c4c6c4c6c6c110d
train,train/images/WhatsApp-Image-2026-07-03-at-11-58-59-AM-3-_jpeg.rf.0c03a7a31ce6d7d015e47142a5fd5aca.jpg,640,480,120,bc18d5c33fdb653ab6b8c95caf8d8e45d14f23c6bb775f8c4201463adfa6c21a,0001010101051131
train,train/images/WhatsApp-Image-2026-07-03-at-11-59-00-AM-3-_jpeg.rf.f8ac320723aedf4edce9cf5a0230a32b.jpg,480,640,16,f62ecea1ad36b76893515ca84efb6c2e4260a9ed95fe67529508a068e04702b6,038101111010060c
train,train/images/WhatsApp-Image-2026-07-03-at-11-59-01-AM-2-_jpeg.rf.97168b1f4fd9f593e8a74150f03417e2.jpg,640,480,116,bff1c11b7c7133c352837137a8f4950f15babd2631e08cd75f9c1c0506f422d0,0e07010101010131
train,train/images/WhatsApp-Image-2026-07-03-at-12-00-27-PM_jpeg.rf.0e4f0c3859b70cda93a6a4b08fac2214.jpg,640,290,100,c991121fe4ae29e056beae7478d951ed0ac695a8382b0c69d40f9db560bffc0f,0327333f38b40d4b
train,train/images/WhatsApp-Image-2026-07-03-at-12-00-34-PM-2-_jpeg.rf.93f3a94d8ae5921fa8e61cf62a01941e.jpg,640,291,5,c4daca081c6c1524878eaf8ecee99519efade43e1d71b4b8f03f06f2a065ff8e,1613110d074343a5
train,train/images/WhatsApp-Image-2026-07-03-at-12-00-40-PM-2-_jpeg.rf.5c73751f2b2c36c912419d5a3f31835c.jpg,290,640,17,647a475494caec608d068bb2f6bba0d11acf552746461617464564f5effb3467,a5771f1f1d362636
train,train/images/WhatsApp-Image-2026-07-03-at-12-00-51-PM_jpeg.rf.4eb2985ae042c0e40d9947f6827f182e.jpg,291,640,7,59d0266f3d95be9a114d3428e94c6130a191c13b3d377b264164bc8de8e2823d,183e1f6de5355898
train,train/images/WhatsApp-Image-2026-07-03-at-12-00-52-PM-1-_jpeg.rf.7415621cc2a5bdfe44447f79140bd213.jpg,291,640,30,c4464daf9789aab8d2b0aab96d64b248629e02c7b26cd8797e8e2c1590bead05,df17d696364e4e9e
train,train/images/WhatsApp-Image-2026-07-03-at-12-00-52-PM_jpeg.rf.f9abdd1d7e8d0fd90f0073b0c3a6ae09.jpg,291,640,16,42a914b9e8f93271b83253748e3d0da557b1d1f65eb832c4a36900b372e2f2fb,d81f97d6364e4e9e
train,train/images/WhatsApp-Image-2026-07-03-at-12-01-08-PM_jpeg.rf.39971e317dc3c69c798c9bee5b68e5b1.jpg,640,290,1,c69496e42c8281bb03f5fda92e3a93a09b63b25ca37cbd3964e8ee3b54e5dd39,1f0f6731f94f4fcd
train,train/images/WhatsApp-Image-2026-07-03-at-12-01-09-PM-1-_jpeg.rf.017f9c737b9772257cc3759b29db235a.jpg,290,640,1,d4feb486f5c3d24f5a5969c7bc934ed0685262c086de7e0e1706c97d4335afee,e7e7eb871bdbc8fd
train,train/images/WhatsApp-Image-2026-07-03-at-12-01-13-PM-1-_jpeg.rf.eaa37cbeab66e7ca67d642723cbc815c.jpg,291,640,20,cda0226ee222f91198582ef9d6dcc1e3a56d6d38133ef15c78d4cb929ffe0c90,40208c6c4c86849c
train,train/images/WhatsApp-Image-2026-07-03-at-12-01-13-PM_jpeg.rf.57d89fb504b43c799e4f4e479c49865a.jpg,291,640,60,5b968630842becaebeb29072d065577928472b361bbecc813f204e2c88b6a842,5e199a9a9adac363
train,train/images/WhatsApp-Image-2026-07-03-at-12-02-55-PM_jpeg.rf.437867742c3572515db51bd8d9442acd.jpg,480,640,4,116891a25e4503aed59ebd522993381a96b8d81b930e5f3f8dd27dc90306abb6,fd73796d373efcb0
valid,valid/images/0ed3cb7f3aa5427610af_jpg.rf.ffe412dceea1720a8e55ac13f28be2f1.jpg,640,640,4,2a637ba4eddfa7dee38ce2a8242c435d76f89af30b89a8926231e16ced7e786e,0305143c66757575
valid,valid/images/36dccd6307a7fbd801d3_jpg.rf.6a6249830cc84516b001f90994a5e1d7.jpg,640,640,6,e3139d686e2757a5275ce7a52dd998762ca001f914e2b98807e2fe8eb04640f5,07c78e4c81c84b40
valid,valid/images/4cd1abed9a60a4c45bac_jpg.rf.d4305b8fda86ad8fbfc32e6faa879c42.jpg,359,640,1,8ac89cb0961b0b4fa40e04b01dcb8dbcd531facc37f9c7e78196031d6149e25d,0161631302293018
valid,valid/images/609a1fa6603c84fd608f_jpg.rf.377bc342d0c4d4eb062fbb64e2dc9623.jpg,640,640,1,812406b26ec8cb5c7187717e1b2bd51211d4e5385b361b535d293699b29bacaa,05851f9f9f0f2727
valid,valid/images/9d0b24d779e80cbbad2d_jpg.rf.e3091e71352f53efba38e0196eca9135.jpg,640,640,2,3c842c1acb2ac1298a2e719fbe481b35abdf6b7b47a1067f28a4d6e86042959a,1f96b198080c0dd9
valid,valid/images/dc2db98845872b41b4b9_jpg.rf.7d7891a467f9d34d5162571d01623fd8.jpg,640,640,10,3684fbeee19dd6de444d3f1f1bfc53b5f00b663142341cffb2af248d69377eb7,2444810060672408
valid,valid/images/e0f00e2e506f411a0b91_jpg.rf.a67b894ac16e9b775c0fd7877e4f3d9a.jpg,474,640,131,ed5389d7f6d74b634f6f111d3d5404ce907dd80117c06853c6adf19e884ad76d,daeb6e72f3e3cb91
valid,valid/images/fc31b5da0c395f550cde_jpg.rf.ff5a8a733d19a1ce84db57467d29003f.jpg,640,640,11,809924d032504a155cbbe005572f443b4d57d13557288bc3b414a28034bcabfe,332303c383676312
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-56-54-AM_jpeg.rf.72c573234d6d423948ee8b9b923e9652.jpg,480,640,100,818ebd9bf38620f29f370636c73e96b6b648478e7c65b013f3652c5cbd10e5a5,cb8b2a2a29291536
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-57-05-AM_jpeg.rf.bd6ada60f52f975040028028bb6784b7.jpg,640,480,2,d7a29635965acf3451cbf7276d617bf37928460be92bb507e48bc63ae7f27b9c,f3434a45434b4fef
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-57-09-AM-1-_jpeg.rf.b69a25fc2e1a8982f6a56211e54fd940.jpg,480,640,105,45d2dcf2dab5f03ce283ed921621673883d37a90ba2923086cd5ceb593c37fe7,8a8adbeaeafafefb
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-57-18-AM-1-_jpeg.rf.1b745a6ae3d3aa7fcd62e73a7c75e158.jpg,480,640,10,4966bd3df95ebeabf2f6d9ad0a6067e0335589cee4ef9e1c49227e67ab75a6ed,0b039b999bcb17b8
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-57-20-AM-2-_jpeg.rf.55fe4b40a72dd1a1a4b246e6854f55db.jpg,480,640,82,c0fb15ae73ffc75a5bbbe2c901afd7dff155813023dbe9a6db2637ffd00b6442,381f0b2929010f0b
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-57-23-AM_jpeg.rf.6f87179ee1ed76c8dd62da997afc89c2.jpg,480,640,68,f8cd656e71a02f91cca50b6d6f7f218f907c5fd2a380e4804efa1285e0de6bcb,1913a5d5575773c9
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-57-54-AM-1-_jpeg.rf.c90c46acca6e61b9849fb3d8484bea45.jpg,480,640,75,1e39476d910a15603a4ab72f7c4b91299ca78d17fc368d4a60e276276d88a60d,7b31016828286747
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-58-23-AM-1-_jpeg.rf.06354487b120b021b342d5d5eb6bc949.jpg,480,640,4,a283b20f0ca2a22bfcba66f174f513a510d0561f9b0594e81b2255e29db2352c,07c78e4c81c84ac0
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-58-23-AM-2-_jpeg.rf.12e6173e841713267c7c6f928460e7a6.jpg,480,640,4,3b9057b446a22a3ea2a1f85a3755faa9d49e7b7f7a2a7d60e2940cf62b43a5ca,05c5cc4c81c80ac0
valid,valid/images/WhatsApp-Image-2026-07-03-at-11-58-27-AM_jpeg.rf.014079245367617006b59ee4c7c7fb4f.jpg,480,640,19,db973c755f43f3421aae783f5ad01d07dc55058b9259ff0408b0102fc5a7bfd7,be1f3f7f77d71707
valid,valid/images/WhatsApp-Image-2026-07-03-at-12-00-54-PM_jpeg.rf.f452ebe21af57a206cf0099992a22cdf.jpg,640,288,4,ab71d8d39fe3691e4295baf15e4744848f1b3775b9a8d360a5cf91926e105787,a6dffbc6f7ff6e7e
valid,valid/images/WhatsApp-Image-2026-07-03-at-12-01-08-PM-1-_jpeg.rf.44c7a05a146cbcbbc3afeb1328c36cb4.jpg,640,290,1,3f023fcf4ad1c81307757b4f1bfba9ceb370ee2ee662cdfb51223724b4931920,5012c68630b8c0c7
valid,valid/images/WhatsApp-Image-2026-07-03-at-12-01-15-PM-1-_jpeg.rf.6d4dcffe5d67618db97f6005cf837772.jpg,640,291,56,4aaa81e818cb055e91ed161817dc72a4c6d59ebfdd93c6ef37f341f69715b6c9,5f8e4cb9b8bc86c2
valid,valid/images/WhatsApp-Image-2026-07-03-at-12-03-16-PM-2-_jpeg.rf.6e9d5863f8a0d30746815713deea50b4.jpg,480,640,19,2eb1c9d205a2cfb145d83020954e6a5405db8d0bbd346cf4c556ab9ec1de6dc8,e3daccc495111111
test,test/images/927321c29a7dd6148734_jpg.rf.4e697ff61e22a4f06fbc2fa2d70fa81c.jpg,640,640,1,18d88125ccacd206e1b0995cb528e8f73ecda5ba943bc550176b4e7efd06cbf0,07cbf13220a0a003
test,test/images/d3b9c36c583b721a058b_jpg.rf.674e4ac894aa749223dc62a8f221cdbc.jpg,640,640,31,c6f322da5f74dc5275dc3381b14d433d4d4f7f282de53803b05d29748f5e4d63,c9a861037ee7c79b
test,test/images/WhatsApp-Image-2026-07-03-at-11-57-01-AM-1-_jpeg.rf.2ec5d18b680525d06219df4ae79bfeac.jpg,640,480,141,190ca72e673d972f9ecc15d8c1d8d384966f22844fc63eef07b149dc468359ef,0f3e2030323242d9
test,test/images/WhatsApp-Image-2026-07-03-at-11-57-17-AM_jpeg.rf.c023e0f72194c050fe5968057ad4a2e9.jpg,480,640,33,06383cf6fba45144b915351c6945d65db14b11c8ffb400d4a304a7ec74a8dfcf,fe1f1e5eda9bdded
test,test/images/WhatsApp-Image-2026-07-03-at-11-57-20-AM_jpeg.rf.186b41101dd625aa15700c9ea12d1923.jpg,480,640,11,ea4455f8384de02cc71f9ca20e63b8e3cecc874ad444e302a70f9b5c8cdadf8d,1303012001300c83
test,test/images/WhatsApp-Image-2026-07-03-at-11-57-43-AM-1-_jpeg.rf.d840b7abac2e92acfb799fc58c88830d.jpg,640,480,121,1edb64b22bbaa76deaa5eed5d7a35b3a23b27703fce1fdb2e67a5a510a592c61,f2787d70f0d82685
test,test/images/WhatsApp-Image-2026-07-03-at-11-58-26-AM_jpeg.rf.d0dc60fe6d1696109d04775b1808359b.jpg,480,640,39,baa3697212beb51bd20e6a4fd7154c67779cf89e942b1613507a7f863a82009c,9d1f3eff7f373f0f
test,test/images/WhatsApp-Image-2026-07-03-at-11-58-30-AM_jpeg.rf.04705d93f3255e3432edb82dfa7d8ba7.jpg,480,640,60,f8cce262238d2a00f179eb69bcdc2d7110b4c13e9584a7ae11f8173374ee7ddb,7d5b5bd3d3d39388
